"","Ref_Date","GEO","COMPONENTS","Value"
"7883","2008/11","Ontario","Total receipts","730392.0"
"7884","2008/12","Ontario","Total receipts","481186.0"
"7885","2009/01","Ontario","Total receipts","736986.0"
"7886","2009/02","Ontario","Total receipts","492382.0"
"7887","2009/03","Ontario","Total receipts","379859.0"
"7888","2009/04","Ontario","Total receipts","299582.0"
"7889","2009/05","Ontario","Total receipts","520881.0"
"7890","2009/06","Ontario","Total receipts","415420.0"
"7891","2009/07","Ontario","Total receipts","722973.0"
"7892","2009/08","Ontario","Total receipts","794489.0"
"7893","2009/09","Ontario","Total receipts","764862.0"
"7894","2009/10","Ontario","Total receipts","605174.0"
"7895","2009/11","Ontario","Total receipts","225567.0"
"7896","2009/12","Ontario","Total receipts","359808.0"
"7897","2010/01","Ontario","Total receipts","787809.0"
"7898","2010/02","Ontario","Total receipts","754790.0"
"7899","2010/03","Ontario","Total receipts","808094.0"
"7900","2010/04","Ontario","Total receipts","520720.0"
"7901","2010/05","Ontario","Total receipts","514417.0"
"7902","2010/06","Ontario","Total receipts","489732.0"
"7903","2010/07","Ontario","Total receipts","735566.0"
"7904","2010/08","Ontario","Total receipts","673939.0"
"7905","2010/09","Ontario","Total receipts","786418.0"
"7906","2010/10","Ontario","Total receipts","451740.0"
"7907","2010/11","Ontario","Total receipts","424735.0"
"7908","2010/12","Ontario","Total receipts","422514.0"
"7909","2011/01","Ontario","Total receipts","451728.0"
"7910","2011/02","Ontario","Total receipts","454669.0"
"7911","2011/03","Ontario","Total receipts","482154.0"
"7912","2011/04","Ontario","Total receipts","599791.0"
"7913","2011/05","Ontario","Total receipts","374696.0"
"7914","2011/06","Ontario","Total receipts","435588.0"
"7915","2011/07","Ontario","Total receipts","737998.0"
"7916","2011/08","Ontario","Total receipts","624895.0"
"7917","2011/09","Ontario","Total receipts","470913.0"
"7918","2011/10","Ontario","Total receipts","329888.0"
"7919","2011/11","Ontario","Total receipts","382090.0"
"7920","2011/12","Ontario","Total receipts","360388.0"
"7921","2012/01","Ontario","Total receipts","399727.0"
"7922","2012/02","Ontario","Total receipts","334654.0"
"7923","2012/03","Ontario","Total receipts","448440.0"
"7924","2012/04","Ontario","Total receipts","608091.0"
"7925","2012/05","Ontario","Total receipts","475924.0"
"7926","2012/06","Ontario","Total receipts","438510.0"
"7927","2012/07","Ontario","Total receipts","773035.0"
"7928","2012/08","Ontario","Total receipts","645144.0"
"7929","2012/09","Ontario","Total receipts","603197.0"
"7930","2012/10","Ontario","Total receipts","450906.0"
"7931","2012/11","Ontario","Total receipts","354796.0"
"7932","2012/12","Ontario","Total receipts","231844.0"
"7933","2013/01","Ontario","Total receipts","211981.0"
"7934","2013/02","Ontario","Total receipts","302027.0"
"7935","2013/03","Ontario","Total receipts","385353.0"
"7936","2013/04","Ontario","Total receipts","403133.0"
"7937","2013/05","Ontario","Total receipts","279535.0"
"7938","2013/06","Ontario","Total receipts","415360.0"
"7939","2013/07","Ontario","Total receipts","602856.0"
"7940","2013/08","Ontario","Total receipts","578079.0"
"7941","2013/09","Ontario","Total receipts","493980.0"
"7942","2013/10","Ontario","Total receipts","568206.0"
"7943","2013/11","Ontario","Total receipts","499097.0"
"7944","2013/12","Ontario","Total receipts","452326.0"
"7945","2014/01","Ontario","Total receipts","372806.0"
"7946","2014/02","Ontario","Total receipts","807967.0"
"7947","2014/03","Ontario","Total receipts","612114.0"
"7948","2014/04","Ontario","Total receipts","322810.0"
"7949","2014/05","Ontario","Total receipts","217297.0"
"7950","2014/06","Ontario","Total receipts","272877.0"
"7951","2014/07","Ontario","Total receipts","536451.0"
"7952","2014/08","Ontario","Total receipts","518023.0"
"7953","2014/09","Ontario","Total receipts","297968.0"
"7954","2014/10","Ontario","Total receipts","274742.0"
"7955","2014/11","Ontario","Total receipts","233553.0"
"7956","2014/12","Ontario","Total receipts","316856.0"
"7957","2015/01","Ontario","Total receipts","199545.0"
"7958","2015/02","Ontario","Total receipts","381339.0"
"7959","2015/03","Ontario","Total receipts","519112.0"
"7960","2015/04","Ontario","Total receipts","336262.0"
"7961","2015/05","Ontario","Total receipts","290102.0"
"7962","2015/06","Ontario","Total receipts","181293.0"
"7963","2015/07","Ontario","Total receipts","525522.0"
"7964","2015/08","Ontario","Total receipts","442876.0"
"7965","2015/09","Ontario","Total receipts","462103.0"
"7966","2015/10","Ontario","Total receipts","1123717.0"
"7967","2015/11","Ontario","Total receipts","334980.0"
"7968","2015/12","Ontario","Total receipts","337915.0"
"7969","2008/01","Ontario","Receipts from other provinces","227860.0"
"7970","2008/02","Ontario","Receipts from other provinces","273265.0"
"7971","2008/03","Ontario","Receipts from other provinces","190815.0"
"7972","2008/04","Ontario","Receipts from other provinces","179561.0"
"7973","2008/05","Ontario","Receipts from other provinces","95344.0"
"7974","2008/06","Ontario","Receipts from other provinces","129383.0"
"7975","2008/07","Ontario","Receipts from other provinces","211128.0"
"7976","2008/08","Ontario","Receipts from other provinces","196203.0"
"7977","2008/09","Ontario","Receipts from other provinces","157068.0"
"7978","2008/10","Ontario","Receipts from other provinces","117433.0"
"7979","2008/11","Ontario","Receipts from other provinces","137164.0"
"7980","2008/12","Ontario","Receipts from other provinces","96296.0"
"7981","2009/01","Ontario","Receipts from other provinces","109691.0"
"7982","2009/02","Ontario","Receipts from other provinces","137519.0"
"7983","2009/03","Ontario","Receipts from other provinces","122531.0"
"7984","2009/04","Ontario","Receipts from other provinces","90541.0"
"7985","2009/05","Ontario","Receipts from other provinces","223477.0"
"7986","2009/06","Ontario","Receipts from other provinces","198546.0"
"7987","2009/07","Ontario","Receipts from other provinces","393411.0"
"7988","2009/08","Ontario","Receipts from other provinces","521110.0"
"7989","2009/09","Ontario","Receipts from other provinces","594121.0"
"7990","2009/10","Ontario","Receipts from other provinces","489513.0"
"7991","2009/11","Ontario","Receipts from other provinces","133492.0"
"7992","2009/12","Ontario","Receipts from other provinces","168815.0"
"7993","2010/01","Ontario","Receipts from other provinces","562885.0"
"7994","2010/02","Ontario","Receipts from other provinces","570722.0"
"7995","2010/03","Ontario","Receipts from other provinces","647455.0"
"7996","2010/04","Ontario","Receipts from other provinces","319020.0"
"7997","2010/05","Ontario","Receipts from other provinces","222816.0"
"7998","2010/06","Ontario","Receipts from other provinces","297829.0"
"7999","2010/07","Ontario","Receipts from other provinces","328223.0"
"8000","2010/08","Ontario","Receipts from other provinces","246062.0"
"8001","2010/09","Ontario","Receipts from other provinces","171761.0"
"8002","2010/10","Ontario","Receipts from other provinces","120846.0"
"8003","2010/11","Ontario","Receipts from other provinces","126655.0"
"8004","2010/12","Ontario","Receipts from other provinces","128267.0"
"8005","2011/01","Ontario","Receipts from other provinces","310647.0"
"8006","2011/02","Ontario","Receipts from other provinces","298744.0"
"8007","2011/03","Ontario","Receipts from other provinces","318653.0"
"8008","2011/04","Ontario","Receipts from other provinces","458155.0"
"8009","2011/05","Ontario","Receipts from other provinces","266703.0"
"8010","2011/06","Ontario","Receipts from other provinces","288246.0"
"8011","2011/07","Ontario","Receipts from other provinces","548529.0"
"8012","2011/08","Ontario","Receipts from other provinces","440497.0"
"8013","2011/09","Ontario","Receipts from other provinces","286140.0"
"8014","2011/10","Ontario","Receipts from other provinces","208463.0"
"8015","2011/11","Ontario","Receipts from other provinces","247836.0"
"8016","2011/12","Ontario","Receipts from other provinces","262703.0"
"8017","2012/01","Ontario","Receipts from other provinces","267397.0"
"8018","2012/02","Ontario","Receipts from other provinces","238333.0"
"8019","2012/03","Ontario","Receipts from other provinces","309878.0"
"8020","2012/04","Ontario","Receipts from other provinces","441497.0"
"8021","2012/05","Ontario","Receipts from other provinces","409818.0"
"8022","2012/06","Ontario","Receipts from other provinces","325463.0"
"8023","2012/07","Ontario","Receipts from other provinces","600670.0"
"8024","2012/08","Ontario","Receipts from other provinces","502168.0"
"8025","2012/09","Ontario","Receipts from other provinces","457001.0"
"8026","2012/10","Ontario","Receipts from other provinces","436688.0"
"8027","2012/11","Ontario","Receipts from other provinces","341388.0"
"8028","2012/12","Ontario","Receipts from other provinces","210577.0"
"8029","2013/01","Ontario","Receipts from other provinces","129801.0"
"8030","2013/02","Ontario","Receipts from other provinces","245750.0"
"8031","2013/03","Ontario","Receipts from other provinces","339663.0"
"8032","2013/04","Ontario","Receipts from other provinces","377374.0"
"8033","2013/05","Ontario","Receipts from other provinces","271726.0"
"8034","2013/06","Ontario","Receipts from other provinces","411214.0"
"8035","2013/07","Ontario","Receipts from other provinces","580411.0"
"8036","2013/08","Ontario","Receipts from other provinces","557248.0"
"8037","2013/09","Ontario","Receipts from other provinces","474385.0"
"8038","2013/10","Ontario","Receipts from other provinces","549978.0"
"8039","2013/11","Ontario","Receipts from other provinces","473057.0"
"8040","2013/12","Ontario","Receipts from other provinces","398947.0"
"8041","2014/01","Ontario","Receipts from other provinces","272473.0"
"8042","2014/02","Ontario","Receipts from other provinces","463048.0"
"8043","2014/03","Ontario","Receipts from other provinces","321792.0"
"8044","2014/04","Ontario","Receipts from other provinces","293599.0"
"8045","2014/05","Ontario","Receipts from other provinces","211728.0"
"8046","2014/06","Ontario","Receipts from other provinces","254955.0"
"8047","2014/07","Ontario","Receipts from other provinces","524689.0"
"8048","2014/08","Ontario","Receipts from other provinces","505259.0"
"8049","2014/09","Ontario","Receipts from other provinces","282317.0"
"8050","2014/10","Ontario","Receipts from other provinces","271048.0"
"8051","2014/11","Ontario","Receipts from other provinces","226323.0"
"8052","2014/12","Ontario","Receipts from other provinces","301694.0"
"8053","2015/01","Ontario","Receipts from other provinces","171419.0"
"8054","2015/02","Ontario","Receipts from other provinces","230717.0"
"8055","2015/03","Ontario","Receipts from other provinces","464340.0"
"8056","2015/04","Ontario","Receipts from other provinces","325830.0"
"8057","2015/05","Ontario","Receipts from other provinces","277391.0"
"8058","2015/06","Ontario","Receipts from other provinces","177072.0"
"8059","2015/07","Ontario","Receipts from other provinces","496769.0"
"8060","2015/08","Ontario","Receipts from other provinces","434622.0"
"8061","2015/09","Ontario","Receipts from other provinces","308363.0"
"8062","2015/10","Ontario","Receipts from other provinces","1096965.0"
"8063","2015/11","Ontario","Receipts from other provinces","321391.0"
"8064","2015/12","Ontario","Receipts from other provinces","328646.0"
"8065","2008/01","Ontario","Purchased receipts from the United States","491001.0"
"8066","2008/02","Ontario","Purchased receipts from the United States","409476.0"
"8067","2008/03","Ontario","Purchased receipts from the United States","658278.0"
"8068","2008/04","Ontario","Purchased receipts from the United States","766894.0"
"8069","2008/05","Ontario","Purchased receipts from the United States","1160022.0"
"8070","2008/06","Ontario","Purchased receipts from the United States","1128557.0"
"8071","2008/07","Ontario","Purchased receipts from the United States","907434.0"
"8072","2008/08","Ontario","Purchased receipts from the United States","346040.0"
"8073","2008/09","Ontario","Purchased receipts from the United States","569867.0"
"8074","2008/10","Ontario","Purchased receipts from the United States","582196.0"
"8075","2008/11","Ontario","Purchased receipts from the United States","593228.0"
"8076","2008/12","Ontario","Purchased receipts from the United States","384890.0"
"8077","2009/01","Ontario","Purchased receipts from the United States","625882.0"
"8078","2009/02","Ontario","Purchased receipts from the United States","347091.0"
"8079","2009/03","Ontario","Purchased receipts from the United States","257328.0"
"8080","2009/04","Ontario","Purchased receipts from the United States","207851.0"
"8081","2009/05","Ontario","Purchased receipts from the United States","296364.0"
"8082","2009/06","Ontario","Purchased receipts from the United States","216874.0"
"8083","2009/07","Ontario","Purchased receipts from the United States","271018.0"
"8084","2009/08","Ontario","Purchased receipts from the United States","235060.0"
"8085","2009/09","Ontario","Purchased receipts from the United States","168217.0"
"8086","2009/10","Ontario","Purchased receipts from the United States","115661.0"
"8087","2009/11","Ontario","Purchased receipts from the United States","91641.0"
"8088","2009/12","Ontario","Purchased receipts from the United States","190993.0"
"8089","2010/01","Ontario","Purchased receipts from the United States","199096.0"
"8090","2010/02","Ontario","Purchased receipts from the United States","182723.0"
"8091","2010/03","Ontario","Purchased receipts from the United States","160639.0"
"8092","2010/04","Ontario","Purchased receipts from the United States","201700.0"
"8093","2010/05","Ontario","Purchased receipts from the United States","291601.0"
"8094","2010/06","Ontario","Purchased receipts from the United States","191903.0"
"8095","2010/07","Ontario","Purchased receipts from the United States","407343.0"
"8096","2010/08","Ontario","Purchased receipts from the United States","427877.0"
"8097","2010/09","Ontario","Purchased receipts from the United States","614657.0"
"8098","2010/10","Ontario","Purchased receipts from the United States","330894.0"
"8099","2010/11","Ontario","Purchased receipts from the United States","298080.0"
"8100","2010/12","Ontario","Purchased receipts from the United States","294247.0"
"8101","2011/01","Ontario","Purchased receipts from the United States","141081.0"
"8102","2011/02","Ontario","Purchased receipts from the United States","152779.0"
"8103","2011/03","Ontario","Purchased receipts from the United States","163501.0"
"8104","2011/04","Ontario","Purchased receipts from the United States","139618.0"
"8105","2011/05","Ontario","Purchased receipts from the United States","107993.0"
"8106","2011/06","Ontario","Purchased receipts from the United States","147342.0"
"8107","2011/07","Ontario","Purchased receipts from the United States","189469.0"
"8108","2011/08","Ontario","Purchased receipts from the United States","184398.0"
"8109","2011/09","Ontario","Purchased receipts from the United States","184773.0"
"8110","2011/10","Ontario","Purchased receipts from the United States","121425.0"
"8111","2011/11","Ontario","Purchased receipts from the United States","134254.0"
"8112","2011/12","Ontario","Purchased receipts from the United States","97685.0"
"8113","2012/01","Ontario","Purchased receipts from the United States","132330.0"
"8114","2012/02","Ontario","Purchased receipts from the United States","96321.0"
"8115","2012/03","Ontario","Purchased receipts from the United States","138562.0"
"8116","2012/04","Ontario","Purchased receipts from the United States","166594.0"
"8117","2012/05","Ontario","Purchased receipts from the United States","66106.0"
"8118","2012/06","Ontario","Purchased receipts from the United States","113047.0"
"8119","2012/07","Ontario","Purchased receipts from the United States","172365.0"
"8120","2012/08","Ontario","Purchased receipts from the United States","142976.0"
"8121","2012/09","Ontario","Purchased receipts from the United States","146196.0"
"8122","2012/10","Ontario","Purchased receipts from the United States","14218.0"
"8123","2012/11","Ontario","Purchased receipts from the United States","13408.0"
"8124","2012/12","Ontario","Purchased receipts from the United States","21267.0"
"8125","2013/01","Ontario","Purchased receipts from the United States","82180.0"
"8126","2013/02","Ontario","Purchased receipts from the United States","56277.0"
"8127","2013/03","Ontario","Purchased receipts from the United States","45690.0"
"8128","2013/04","Ontario","Purchased receipts from the United States","25759.0"
"8129","2013/05","Ontario","Purchased receipts from the United States","7809.0"
"8130","2013/06","Ontario","Purchased receipts from the United States","4146.0"
"8131","2013/07","Ontario","Purchased receipts from the United States","22445.0"
"8132","2013/08","Ontario","Purchased receipts from the United States","20831.0"
"8133","2013/09","Ontario","Purchased receipts from the United States","19595.0"
"8134","2013/10","Ontario","Purchased receipts from the United States","18228.0"
"8135","2013/11","Ontario","Purchased receipts from the United States","26040.0"
"8136","2013/12","Ontario","Purchased receipts from the United States","53379.0"
"8137","2014/01","Ontario","Purchased receipts from the United States","100333.0"
"8138","2014/02","Ontario","Purchased receipts from the United States","344919.0"
"8139","2014/03","Ontario","Purchased receipts from the United States","290322.0"
"8140","2014/04","Ontario","Purchased receipts from the United States","29211.0"
"8141","2014/05","Ontario","Purchased receipts from the United States","5569.0"
"8142","2014/06","Ontario","Purchased receipts from the United States","17922.0"
"8143","2014/07","Ontario","Purchased receipts from the United States","11762.0"
"8144","2014/08","Ontario","Purchased receipts from the United States","12764.0"
"8145","2014/09","Ontario","Purchased receipts from the United States","15651.0"
"8146","2014/10","Ontario","Purchased receipts from the United States","3694.0"
"8147","2014/11","Ontario","Purchased receipts from the United States","7230.0"
"8148","2014/12","Ontario","Purchased receipts from the United States","15162.0"
"8149","2015/01","Ontario","Purchased receipts from the United States","28126.0"
"8150","2015/02","Ontario","Purchased receipts from the United States","150622.0"
"8151","2015/03","Ontario","Purchased receipts from the United States","54772.0"
"8152","2015/04","Ontario","Purchased receipts from the United States","10432.0"
"8153","2015/05","Ontario","Purchased receipts from the United States","12711.0"
"8154","2015/06","Ontario","Purchased receipts from the United States","4221.0"
"8155","2015/07","Ontario","Purchased receipts from the United States","28753.0"
"8156","2015/08","Ontario","Purchased receipts from the United States","8254.0"
"8157","2015/09","Ontario","Purchased receipts from the United States","153740.0"
"8158","2015/10","Ontario","Purchased receipts from the United States","26752.0"
"8159","2015/11","Ontario","Purchased receipts from the United States","13589.0"
"8160","2015/12","Ontario","Purchased receipts from the United States","9269.0"
"8161","2008/01","Ontario","Other receipts from the United States","9622.0"
"8162","2008/02","Ontario","Other receipts from the United States","113502.0"
"8163","2008/03","Ontario","Other receipts from the United States","0.0"
"8164","2008/04","Ontario","Other receipts from the United States","259.0"
"8165","2008/05","Ontario","Other receipts from the United States","0.0"
"8166","2008/06","Ontario","Other receipts from the United States","780.0"
"8167","2008/07","Ontario","Other receipts from the United States","0.0"
"8168","2008/08","Ontario","Other receipts from the United States","0.0"
"8169","2008/09","Ontario","Other receipts from the United States","0.0"
"8170","2008/10","Ontario","Other receipts from the United States","0.0"
"8171","2008/11","Ontario","Other receipts from the United States","0.0"
"8172","2008/12","Ontario","Other receipts from the United States","0.0"
"8173","2009/01","Ontario","Other receipts from the United States","1413.0"
"8174","2009/02","Ontario","Other receipts from the United States","7772.0"
"8175","2009/03","Ontario","Other receipts from the United States","0.0"
"8176","2009/04","Ontario","Other receipts from the United States","1190.0"
"8177","2009/05","Ontario","Other receipts from the United States","1040.0"
"8178","2009/06","Ontario","Other receipts from the United States","0.0"
"8179","2009/07","Ontario","Other receipts from the United States","58544.0"
"8180","2009/08","Ontario","Other receipts from the United States","38319.0"
"8181","2009/09","Ontario","Other receipts from the United States","2524.0"
"8182","2009/10","Ontario","Other receipts from the United States","0.0"
"8183","2009/11","Ontario","Other receipts from the United States","434.0"
"8184","2009/12","Ontario","Other receipts from the United States","0.0"
"8185","2010/01","Ontario","Other receipts from the United States","25828.0"
"8186","2010/02","Ontario","Other receipts from the United States","1345.0"
"8187","2010/03","Ontario","Other receipts from the United States","0.0"
"8188","2010/04","Ontario","Other receipts from the United States","0.0"
"8189","2010/05","Ontario","Other receipts from the United States","0.0"
"8190","2010/06","Ontario","Other receipts from the United States","0.0"
"8191","2010/07","Ontario","Other receipts from the United States","0.0"
"8192","2010/08","Ontario","Other receipts from the United States","0.0"
"8193","2010/09","Ontario","Other receipts from the United States","0.0"
"8194","2010/10","Ontario","Other receipts from the United States","0.0"
"8195","2010/11","Ontario","Other receipts from the United States","0.0"
"8196","2010/12","Ontario","Other receipts from the United States","0.0"
"8197","2011/01","Ontario","Other receipts from the United States","0.0"
"8198","2011/02","Ontario","Other receipts from the United States","3146.0"
"8199","2011/03","Ontario","Other receipts from the United States","0.0"
"8200","2011/04","Ontario","Other receipts from the United States","2018.0"
"8201","2011/05","Ontario","Other receipts from the United States",".."
"8202","2011/06","Ontario","Other receipts from the United States",".."
"8203","2011/07","Ontario","Other receipts from the United States",".."
"8204","2011/08","Ontario","Other receipts from the United States",".."
"8205","2011/09","Ontario","Other receipts from the United States",".."
"8206","2011/10","Ontario","Other receipts from the United States",".."
"8207","2011/11","Ontario","Other receipts from the United States",".."
"8208","2011/12","Ontario","Other receipts from the United States",".."
"8209","2012/01","Ontario","Other receipts from the United States",".."
"8210","2012/02","Ontario","Other receipts from the United States",".."
"8211","2012/03","Ontario","Other receipts from the United States",".."
"8212","2012/04","Ontario","Other receipts from the United States",".."
"8213","2012/05","Ontario","Other receipts from the United States",".."
"8214","2012/06","Ontario","Other receipts from the United States",".."
"8215","2012/07","Ontario","Other receipts from the United States",".."
"8216","2012/08","Ontario","Other receipts from the United States",".."
"8217","2012/09","Ontario","Other receipts from the United States",".."
"8218","2012/10","Ontario","Other receipts from the United States",".."
"8219","2012/11","Ontario","Other receipts from the United States",".."
"8220","2012/12","Ontario","Other receipts from the United States",".."
"8221","2013/01","Ontario","Other receipts from the United States",".."
"8222","2013/02","Ontario","Other receipts from the United States",".."
"8223","2013/03","Ontario","Other receipts from the United States",".."
"8224","2013/04","Ontario","Other receipts from the United States",".."
"8225","2013/05","Ontario","Other receipts from the United States",".."
"8226","2013/06","Ontario","Other receipts from the United States",".."
"8227","2013/07","Ontario","Other receipts from the United States",".."
"8228","2013/08","Ontario","Other receipts from the United States",".."
"8229","2013/09","Ontario","Other receipts from the United States",".."
"8230","2013/10","Ontario","Other receipts from the United States",".."
"8231","2013/11","Ontario","Other receipts from the United States",".."
"8232","2013/12","Ontario","Other receipts from the United States",".."
"8233","2014/01","Ontario","Other receipts from the United States",".."
"8234","2014/02","Ontario","Other receipts from the United States",".."
"8235","2014/03","Ontario","Other receipts from the United States",".."
"8236","2014/04","Ontario","Other receipts from the United States",".."
"8237","2014/05","Ontario","Other receipts from the United States",".."
"8238","2014/06","Ontario","Other receipts from the United States",".."
"8239","2014/07","Ontario","Other receipts from the United States",".."
"8240","2014/08","Ontario","Other receipts from the United States",".."
"8241","2014/09","Ontario","Other receipts from the United States",".."
"8242","2014/10","Ontario","Other receipts from the United States",".."
"8243","2014/11","Ontario","Other receipts from the United States",".."
"8244","2014/12","Ontario","Other receipts from the United States",".."
"8245","2015/01","Ontario","Other receipts from the United States",".."
"8246","2015/02","Ontario","Other receipts from the United States",".."
"8247","2015/03","Ontario","Other receipts from the United States",".."
"8248","2015/04","Ontario","Other receipts from the United States",".."
"8249","2015/05","Ontario","Other receipts from the United States",".."
"8250","2015/06","Ontario","Other receipts from the United States",".."
"8251","2015/07","Ontario","Other receipts from the United States",".."
"8252","2015/08","Ontario","Other receipts from the United States",".."
"8253","2015/09","Ontario","Other receipts from the United States",".."
"8254","2015/10","Ontario","Other receipts from the United States",".."
"8255","2015/11","Ontario","Other receipts from the United States",".."
"8256","2015/12","Ontario","Other receipts from the United States",".."
"8257","2008/01","Ontario","Total deliveries","2079977.0"
"8258","2008/02","Ontario","Total deliveries","1603798.0"
"8259","2008/03","Ontario","Total deliveries","1454582.0"
"8260","2008/04","Ontario","Total deliveries","2123655.0"
"8261","2008/05","Ontario","Total deliveries","2430434.0"
"8262","2008/06","Ontario","Total deliveries","2367273.0"
"8263","2008/07","Ontario","Total deliveries","2443585.0"
"8264","2008/08","Ontario","Total deliveries","2006512.0"
"8265","2008/09","Ontario","Total deliveries","1477295.0"
"8266","2008/10","Ontario","Total deliveries","1680733.0"
"8267","2008/11","Ontario","Total deliveries","1573911.0"
